epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,epoch_time_sec,model
1,0.7966600711567993,0.3279898713262254,0.76850994909764,0.7261132998264691,0.8897581830449803,0.7686684567567552,508.7834048271179,AlexNet
2,0.29829249153141224,0.12709823994621916,0.9228366496992133,0.892769523430141,0.9611976228167785,0.9207620881129319,165.3305368423462,AlexNet
3,0.1691022564540437,0.06562693705045339,0.9789449329014345,0.9513993457529155,0.9845806602098749,0.9669810431692014,167.67638969421387,AlexNet
4,0.10585854545328134,0.0599665676111296,0.9639634428505321,0.9148959891466988,0.9828255831161176,0.9465139919619895,167.35055017471313,AlexNet
5,0.11990696709371833,0.10503274373635167,0.956964368347987,0.8756413528732964,0.9629007794656446,0.9136478546650395,164.66783618927002,AlexNet
6,0.03776669073285958,0.011460453886669112,0.9947362332253586,0.9909122065438294,0.9969696115727456,0.9939107663173817,162.2378180027008,AlexNet
7,0.015130533278933185,0.005722458018678263,0.9980911614993059,0.9965592149864914,0.9988608929074795,0.9977058975195456,164.4083023071289,AlexNet
8,0.00931279616935909,0.004484928832493975,0.9986695974086072,0.9978557154522062,0.9989746247146278,0.9984142057043965,164.4013237953186,AlexNet
9,0.007425869575664192,0.002301118853051902,0.9993058769088385,0.9986325365339668,0.999394831759384,0.9990132779464176,166.87363028526306,AlexNet
10,0.005373945038684663,0.002503773600405262,0.9995950948634891,0.9991564915809141,0.9994157096072396,0.9992857634362093,165.8932764530182,AlexNet
1,0.524279531123183,0.36522287537189946,0.8984266543267005,0.8483539807335413,0.8529195794501852,0.8474057186217545,331.99775075912476,DeiT_Tiny
2,0.12632314517428148,0.04710879685354627,0.9864067561314206,0.9692061259606244,0.9843037985333738,0.9766515039129404,305.4720027446747,DeiT_Tiny
3,0.06699979094507941,0.08983130670165103,0.9526260990282277,0.8891331587286023,0.9751790526435005,0.9224161298164677,305.6519491672516,DeiT_Tiny
4,0.05911496278608278,0.019249677060812813,0.991207774178621,0.9854477944550807,0.9949239657766932,0.9900681925022015,305.37186336517334,DeiT_Tiny
5,0.046998323499363115,0.04609422345407831,0.9822420175844516,0.972066896393423,0.9877702797725134,0.979631660036647,303.7516360282898,DeiT_Tiny
6,0.00403706816020691,0.004922201072763295,0.9991901897269783,0.9983404768222027,0.9991392498960635,0.998739254325145,305.07962465286255,DeiT_Tiny
7,0.0004896874359721412,0.0038202767569686692,0.9994215640906987,0.9990841322974842,0.9992138099915004,0.9991487011809601,306.3232960700989,DeiT_Tiny
8,0.0001788399834872051,0.003397409654976246,0.9995950948634891,0.9994400349829944,0.9993414732640924,0.999390303529099,304.49100613594055,DeiT_Tiny
9,0.00007769696656163697,0.0029974899432416084,0.9997107820453494,0.9996202173800235,0.9993787533118108,0.999499167757009,306.34775042533875,DeiT_Tiny
10,0.000033052269965444525,0.0029754115372974993,0.9997107820453494,0.9996202173800235,0.9993787533118108,0.999499167757009,306.0006105899811,DeiT_Tiny
1,0.24455759219626097,0.020676950451164612,0.989819527996298,0.9843076093798782,0.9954456229605911,0.98969783385174,286.3032805919647,ResNet18
2,0.07102944875477925,0.03255147321239348,0.9857704766311892,0.9512910255292009,0.9897424413255915,0.9697557535449564,245.9364230632782,ResNet18
3,0.022601523234503314,0.14656087819045976,0.9272327626099028,0.848073336012329,0.9569317295853346,0.8954413192957524,244.99791741371155,ResNet18
4,0.022030855406978675,0.018126567788195075,0.9947940768162887,0.9711060195433794,0.9962560624065804,0.9833035802935555,245.0993549823761,ResNet18
5,0.028661500782056388,0.0013783735221569065,0.9997686256362796,0.9998550127020615,0.9997143568737978,0.9997846517141818,244.7344994544983,ResNet18
6,0.0012193419658379971,0.0008020705432173515,0.9998264692272096,0.9998736830532132,0.9998033565177993,0.9998385115184396,245.71841144561768,ResNet18
7,0.0006599700304159937,0.0003947970633413831,0.9998843128181397,0.9998923561618007,0.9998923561618007,0.9998923561618007,245.03813338279724,ResNet18
8,0.0004411957301365501,0.00043112664468928117,0.9998843128181397,0.9998923561618007,0.9998923561618007,0.9998923561618007,245.411128282547,ResNet18
9,0.00023800231216991708,0.00016792120613902002,1.0,1.0,1.0,1.0,245.05336260795593,ResNet18
10,0.0002784956727945163,0.00012558113631719277,1.0,1.0,1.0,1.0,245.710200548172,ResNet18
1,0.911993124969135,0.5692102845925415,0.7181860249884313,0.504750448037377,0.8266371121906785,0.5679882100472929,387.2998733520508,Squeezenet
2,0.4591251569050498,0.3304103658203172,0.7817561314206386,0.8025889399904137,0.8952899992092094,0.8169003547732999,210.94631147384644,Squeezenet
3,0.2620715742219668,0.23297273994788478,0.9091277186487737,0.8908343142836722,0.9240098860919457,0.8989507746495562,210.08990573883057,Squeezenet
4,0.19208582794970222,0.15308358802812236,0.9227788061082832,0.9108710069065027,0.9543713976118142,0.9254208697724553,210.22976446151733,Squeezenet
5,0.12429018903841914,0.08520640437704567,0.9418671911152244,0.8811497633164765,0.9765940019651742,0.9234572671513179,210.8551914691925,Squeezenet
6,0.04451861167308118,0.03036458522266907,0.979639055992596,0.9643120491859704,0.9916752095873577,0.977305870568747,211.99043226242065,Squeezenet
7,0.030057191682272673,0.022208180789425686,0.9887204997686256,0.9808398764816394,0.9941052383630058,0.9873248742553359,214.0450794696808,Squeezenet
8,0.022373112911780756,0.020359739118492922,0.9883734382230449,0.9748420190609093,0.9949646133092069,0.984607791165188,211.8087785243988,Squeezenet
9,0.021050291546276696,0.017419148253893284,0.993984266543267,0.9926763590922341,0.994826024035484,0.9937415158237497,210.23785519599915,Squeezenet
10,0.015245395227724346,0.011828896289064325,0.9940999537251273,0.9898865342447812,0.99648350577146,0.9931504984297577,211.67683506011963,Squeezenet
1,0.7016222746412322,0.21711228575173047,0.8972697825080981,0.7500917047677177,0.930694754502367,0.8212068264911775,1102.9151179790497,Swin_Tiny
2,0.19018646286275964,0.03467213873842396,0.9898773715872281,0.982225443102582,0.9923881321116053,0.9872240397470537,1089.6452856063843,Swin_Tiny
3,0.08323499464116736,0.07225202697543415,0.9506594169366034,0.8990132708761434,0.9798498807829129,0.9349908414853857,1087.5569067001343,Swin_Tiny
4,0.06319357969379996,0.1053623412113011,0.9332484960666358,0.8712406980898569,0.9628337117184081,0.9079060031426996,1086.649950504303,Swin_Tiny
5,0.046212264065158284,0.01141826544919509,0.9940421101341971,0.9855948028919329,0.9975759929108323,0.9914820776629092,1088.6625871658325,Swin_Tiny
6,0.0076730046496435445,0.0016973074468732354,0.9991901897269783,0.9981366870659694,0.9996669584464348,0.9989001931165348,1091.187097787857,Swin_Tiny
7,0.002481861521781174,0.0010068904329431324,0.9995950948634891,0.9993396344793292,0.9997233249925581,0.999531377485837,1087.8487515449524,Swin_Tiny
8,0.002104684671695036,0.001304514265539247,0.9989009717723276,0.9976085134571122,0.9996476783859961,0.9986250425794649,1091.2418172359467,Swin_Tiny
9,0.0022035162962970646,0.0010402008510400128,0.999537251272559,0.9983635281074756,0.9997782179034886,0.9990685250010042,1091.0956149101257,Swin_Tiny
10,0.002357021353321793,0.0003091115361469057,0.9997107820453494,0.99921364081207,0.9999072837857885,0.9995601165780863,1088.1519289016724,Swin_Tiny
1,1.1331207795641107,0.7537864914706105,0.7202683942619158,0.549210738520022,0.6764003845204177,0.5660031902917477,2645.7172725200653,ViT
2,0.5402065201233823,0.29248666060482503,0.8557380842202684,0.6776380514272401,0.9099973791174681,0.7600401654252849,2654.8343148231506,ViT
3,0.26770079867538366,0.1748074582850751,0.924109208699676,0.8434051894000274,0.9394469488067271,0.8849583866455022,2654.3236894607544,ViT
4,0.14915322826375751,0.1032730471834106,0.9357936140675613,0.8988961089536702,0.9663872325657126,0.9273076616430581,2659.587776184082,ViT
5,0.08696041286481675,0.06977428062766151,0.9734497917630727,0.9377802100424434,0.9727109729379044,0.9533251182350491,2659.5728754997253,ViT
6,0.013755006254449536,0.0188675786482843,0.9943891716797779,0.9880271559683065,0.9952847373278764,0.991628591764069,2653.0881378650665,ViT
7,0.0020980461874627924,0.02357146444961881,0.995835261453031,0.9917559971453438,0.9917643877310743,0.9917600555623407,2662.2943835258484,ViT
8,0.0009720041876898419,0.029633094632057887,0.9908607126330402,0.9787582208218691,0.9923928901360798,0.9854371177759313,2656.1608970165253,ViT
9,0.00202229791535003,0.02028154411064969,0.996298010180472,0.9926601115005295,0.9921254267430744,0.9923921912064401,2658.795790195465,ViT
10,0.0013521843281201443,0.017301648856052287,0.9959509486348913,0.9885388931134734,0.9956693303112807,0.9920651056085473,2664.9284818172455,ViT
